rank;song;artist;year
14;Rich Flex;Drake & 21 Savage;2023
15;As It Was;Harry Styles;2023
16;Rock And A Hard Place;Bailey Zimmerman;2023
17;Under The Influence;Chris Brown;2023
18;Cruel Summer;Taylor Swift;2023
19;Thinkin' Bout Me;Morgan Wallen;2023
20;Boy's A Liar, Pt. 2;PinkPantheress & Ice Spice;2023
1;Lose Control;Teddy Swims;2024
2;A Bar Song (Tipsy);Shaboozey;2024
3;Beautiful Things;Benson Boone;2024
4;I Had Some Help;Post Malone featuring Morgan Wallen;2024
5;Lovin on Me;Jack Harlow;2024
6;Not Like Us;Kendrick Lamar;2024
7;Espresso;Sabrina Carpenter;2024
8;Million Dollar Baby;Tommy Richman;2024
9;I Remember Everything;Zach Bryan featuring Kacey Musgraves;2024
10;Too Sweet;Hozier;2024
11;Stick Season;Noah Kahan;2024
12;Cruel Summer;Taylor Swift;2024
13;Greedy;Tate McRae;2024
14;Like That;Future, Metro Boomin and Kendrick Lamar;2024
15;Birds of a Feather;Billie Eilish;2024
16;Please Please Please;Sabrina Carpenter;2024
17;Agora Hills;Doja Cat;2024
18;Good Luck, Babe!;Chappell Roan;2024
19;Saturn;SZA;2024
20;Snooze;SZA;2024
1;Die with a Smile;Lady Gaga and Bruno Mars;2025
2;Luther;Kendrick Lamar and SZA;2025
3;A Bar Song (Tipsy);Shaboozey;2025
4;Lose Control;Teddy Swims;2025
5;Birds of a Feather;Billie Eilish;2025
6;Beautiful Things;Benson Boone;2025
7;Ordinary;Alex Warren;2025
8;I Had Some Help;Post Malone featuring Morgan Wallen;2025
9;APT.;Rosé and Bruno Mars;2025
10;Pink Pony Club;Chappell Roan;2025
11;Love Somebody;Morgan Wallen;2025
12;Espresso;Sabrina Carpenter;2025
13;I'm the Problem;Morgan Wallen;2025
14;That's So True;Gracie Abrams;2025
15;TV Off;Kendrick Lamar featuring Lefty Gunplay;2025
16;Timeless;The Weeknd and Playboi Carti;2025
17;Not Like Us;Kendrick Lamar;2025
18;Just in Case;Morgan Wallen;2025
19;Taste;Sabrina Carpenter;2025
20;Squabble Up;Kendrick Lamar;2025
